timestamp, frame, x, y, z, qx, qy, qz, qw
258532.163777833, 000230, -0.45674682, 0.28887975, -1.0403479, 0.99116564, -0.007783314, -0.12973431, 0.026439246
258532.1804455, 000231, -0.45912957, 0.28771704, -1.0493013, 0.9909964, -0.0077427784, -0.13062899, 0.02832337
258532.1971135, 000232, -0.46125835, 0.28633237, -1.0580044, 0.99087656, -0.0077230576, -0.13124572, 0.029640464
258532.213781416, 000233, -0.4631983, 0.2849264, -1.0667354, 0.9908561, -0.007844764, -0.13139965, 0.029610407
258532.230449708, 000234, -0.4649994, 0.2835207, -1.0756066, 0.99087685, -0.007988039, -0.13131593, 0.02924687
258532.247117375, 000235, -0.46706957, 0.2822763, -1.0846746, 0.9908738, -0.007959056, -0.13126808, 0.02956862
258532.263785333, 000236, -0.46882328, 0.28088695, -1.0939072, 0.9908039, -0.0078024394, -0.13150576, 0.030871361
258532.280453291, 000237, -0.4704127, 0.2795006, -1.1032623, 0.99071413, -0.007806626, -0.1318701, 0.0321694
258532.2971215, 000238, -0.47188744, 0.2781798, -1.1127112, 0.99065006, -0.008096368, -0.13217218, 0.03282241
258532.31378925, 000239, -0.47328752, 0.2769061, -1.1222696, 0.99058634, -0.008436784, -0.13251922, 0.033258446
258532.330457291, 000240, -0.4746313, 0.27561808, -1.1319084, 0.9905032, -0.0085000135, -0.13302074, 0.033714183
258532.347125166, 000241, -0.47581682, 0.27487314, -1.1412505, 0.99046075, -0.008283362, -0.13331005, 0.03387106
258532.363793416, 000242, -0.47699428, 0.2737968, -1.1507993, 0.99045676, -0.0078873, -0.1334352, 0.03358956
258532.380461208, 000243, -0.4781442, 0.27264065, -1.1603485, 0.9904236, -0.0070590153, -0.13367234, 0.033807173
258532.397129208, 000244, -0.47928247, 0.27153647, -1.1698093, 0.9904103, -0.006007779, -0.1337727, 0.034002114
258532.413797125, 000245, -0.48041785, 0.27060825, -1.1791885, 0.99047655, -0.005018654, -0.13343999, 0.033537596
258532.43046525, 000246, -0.48154217, 0.2699138, -1.188503, 0.99057305, -0.0044035153, -0.1330803, 0.03217463
258532.447132916, 000247, -0.48206276, 0.26966733, -1.1972038, 0.9905375, -0.0038034709, -0.1336052, 0.031153087
258532.463801166, 000248, -0.48292524, 0.2694234, -1.2062529, 0.99037564, -0.0028701578, -0.13481738, 0.031177808
258532.480469, 000249, -0.4838692, 0.2693246, -1.2154648, 0.99021554, -0.0016682456, -0.13582182, 0.031981982
258532.497137083, 000250, -0.48480397, 0.2695306, -1.224821, 0.9901624, -0.0005473783, -0.13608848, 0.03252735
258532.513804875, 000251, -0.48572093, 0.27008325, -1.2343605, 0.9902311, 0.00014700953, -0.1356455, 0.032289065
258532.530472875, 000252, -0.4866506, 0.27089688, -1.2440925, 0.99041927, 0.00042195147, -0.13447689, 0.031390052
258532.547140791, 000253, -0.48738998, 0.27158147, -1.2533737, 0.9906224, 0.0006469539, -0.13319701, 0.030419677
258532.563808708, 000254, -0.4882897, 0.27256936, -1.2629184, 0.99080896, 0.0005926001, -0.13203737, 0.02938274
258532.58047675, 000255, -0.489258, 0.27366906, -1.2723686, 0.9909929, 0.000248205, -0.130886, 0.028315742
258532.597144916, 000256, -0.4902836, 0.27475238, -1.2816069, 0.991175, -0.00016079732, -0.12966205, 0.027564134
258532.613812708, 000257, -0.491372, 0.2757542, -1.2906331, 0.99134594, -0.00045079377, -0.12837544, 0.027436124
